"행정구역(시군구)별","성별","연령별","항목","단위","2025 년",
"서울특별시","남자","13세","주민등록연앙인구","","37410",
"서울특별시","남자","14세","주민등록연앙인구","","36937",
"서울특별시","남자","15세","주민등록연앙인구","","36418",
"서울특별시","남자","16세","주민등록연앙인구","","36416.5",
"서울특별시","남자","17세","주민등록연앙인구","","38691",
"서울특별시","남자","18세","주민등록연앙인구","","38356.5",
"서울특별시","남자","19세","주민등록연앙인구","","38093",
"서울특별시","남자","20세","주민등록연앙인구","","39968.5",
"서울특별시","남자","21세","주민등록연앙인구","","42475",
"서울특별시","남자","22세","주민등록연앙인구","","45504.5",
"서울특별시","남자","23세","주민등록연앙인구","","50493",
"서울특별시","남자","24세","주민등록연앙인구","","59410.5",
"서울특별시","남자","25세","주민등록연앙인구","","65351",
"서울특별시","남자","26세","주민등록연앙인구","","67911.5",
"서울특별시","남자","27세","주민등록연앙인구","","72445",
"서울특별시","남자","28세","주민등록연앙인구","","76072.5",
"서울특별시","남자","29세","주민등록연앙인구","","79508.5",
"서울특별시","남자","30세","주민등록연앙인구","","82216",
"서울특별시","남자","31세","주민등록연앙인구","","82417",
"서울특별시","남자","32세","주민등록연앙인구","","81672.5",
"서울특별시","남자","33세","주민등록연앙인구","","79931",
"서울특별시","남자","34세","주민등록연앙인구","","74416.5",
"서울특별시","남자","35세","주민등록연앙인구","","68655",
"서울특별시","남자","36세","주민등록연앙인구","","66112",
"서울특별시","남자","37세","주민등록연앙인구","","63500.5",
"서울특별시","남자","38세","주민등록연앙인구","","61640",
"서울특별시","남자","39세","주민등록연앙인구","","62086",
"서울특별시","남자","40세","주민등록연앙인구","","62020.5",
"서울특별시","남자","41세","주민등록연앙인구","","64943.5",
"서울특별시","남자","42세","주민등록연앙인구","","69983.5",
"서울특별시","남자","43세","주민등록연앙인구","","72653",
"서울특별시","남자","44세","주민등록연앙인구","","72719",
"서울특별시","남자","45세","주민등록연앙인구","","71008",
"서울특별시","남자","46세","주민등록연앙인구","","65739",
"서울특별시","남자","47세","주민등록연앙인구","","62977",
"서울특별시","남자","48세","주민등록연앙인구","","64757.5",
"서울특별시","남자","49세","주민등록연앙인구","","65272",
"서울특별시","남자","50세","주민등록연앙인구","","68737",
"서울특별시","남자","51세","주민등록연앙인구","","72404",
