학교명,주소,위도,경도
고창고등학교,전라북도 고창군 고창읍 모양성로 50,35.43744052,126.7012705
고창북고등학교,전라북도 고창군 흥덕면 선운대로 3714-32,35.51504641,126.6979364
고창여자고등학교,전라북도 고창군 고창읍 모양성로 95,35.4393866,126.6990768
고척고등학교,서울특별시 구로구 중앙로15길 162,37.50804938,126.8498691
고촌고등학교,경기도 김포시 고촌읍 태리로47번길 20,37.60460551,126.7499614
고한고등학교,강원도 정선군 고한읍 고한9길 160,37.20615372,128.8529158
고흥고등학교,전라남도 고흥군 고흥읍 학교길 23,34.60657361,127.2942935
고흥도화고등학교,전라남도 고흥군 도화면 도화로 476,34.51405905,127.3204303
고흥산업과학고등학교,전라남도 고흥군 고흥읍 고흥로 1637-13,34.60253833,127.275209
고흥영주고등학교,전라남도 고흥군 과역면 송학큰길 83,34.68208974,127.3560548
곡성고등학교,전라남도 곡성군 곡성읍 학교로 119,35.28511237,127.2923427
곡정고등학교,경기도 수원시 권선구 덕영대로 1190번길 130,37.24384332,127.0201503
곤양고등학교,경상남도 사천시 곤양면 솥골길 120,35.06357858,127.9613145
곤지암고등학교,경기도 광주시 곤지암읍 곤지암로 82,37.34856308,127.3376092
공동체비전고등학교,충청남도 서천군 서천읍 서문로 327,36.10022398,126.712868
공주고등학교,충청남도 공주시 공주고담길 2,36.44805858,127.1233574
공주금성여자고등학교,충청남도 공주시 무령로 103,36.45792388,127.1126169
공주대학교사범대학부설고등학교,충청남도 공주시 봉황로 75,36.45276665,127.1197907
공주마이스터고등학교,충청남도 공주시 유구읍 중앙1길 27-12,36.54765379,126.9482472
공주생명과학고등학교,충청남도 공주시 금벽로 317,36.47346639,127.122704
공주여자고등학교,충청남도 공주시 공주여고길 14-1,36.44004369,127.1202749
공주영명고등학교,충청남도 공주시 영명학당2길 33,36.4519602,127.1278725
공주정보고등학교,충청남도 공주시 마근동길 29,36.48557283,127.1574896
공항고등학교,서울특별시 강서구 방화대로34길 43,37.57046109,126.8185198
과천고등학교,경기도 과천시 꿈보람길 26,37.43085587,126.9970303
과천여자고등학교,경기도 과천시 희망길 36,37.43264355,126.9881073
과천외국어고등학교,경기도 과천시 희망길 36,37.43264355,126.9881073
과천중앙고등학교,경기도 과천시 교육원로 17,37.42301485,126.9865703
관악고등학교,서울특별시 영등포구 영등포로6길 26,37.52179166,126.8829505
관양고등학교,경기도 안양시 동안구 일동로 115,37.40881423,126.9601178
관인고등학교,경기도 포천시 관인면 관인로 20,38.15804881,127.2505866
광교고등학교,경기도 수원시 영통구 도청로89번길 11,37.28972795,127.0485481
광남고등학교,전라남도 나주시 남평읍 남평향교길 19,35.03858698,126.8442532
광남고등학교,경기도 광주시 회안대로 350-32,37.38464209,127.2378011
광남고등학교,서울특별시 광진구 아차산로70길 17-16,37.54151472,127.1012139
광덕고등학교,경기도 안산시 상록구 순환로 532,37.34014053,126.8457848
광덕고등학교,광주광역시 서구 화정로 202,35.1446869,126.8784967
광동고등학교,경기도 남양주시 진접읍 장현로광동1길 10,37.71675577,127.1751688
광명경영회계고등학교,경기도 광명시 기아로13번안길9-9,37.43835741,126.8821568
광명고등학교,경기도 광명시 오리로876번길 17,37.47857117,126.8659896
광명고등학교,부산광역시 영도구 와치로 131,35.08366549,129.0646045
광명북고등학교,경기도 광명시 시청로 127,37.48790635,126.8679386
광문고등학교,경기도 광명시 원광명안로 39,37.46462137,126.8495912
광문고등학교,서울특별시 강동구 동남로 968,37.56046181,127.1585463
광성고등학교,인천광역시 중구 참외전로244번길 47,37.46757337,126.639585
광성고등학교,서울특별시 마포구 신수로8길 20,37.54869756,126.9359696
광신고등학교,서울특별시 관악구 광신길 141,37.4644762,126.9259406
광신방송예술고등학교,서울특별시 관악구 광신길 141,37.4644762,126.9259406
광양고등학교,전라남도 광양시 봉강면 매천로 667,34.98365268,127.5726584
광양고등학교,서울특별시 광진구 자양로3가길 31,37.52937892,127.0851823
광양백운고등학교,전라남도 광양시 중마로 250,34.94677513,127.6911143
광양여자고등학교,전라남도 광양시 광양읍 인덕로 1039,34.97649691,127.5804126
